,video_id,video_diggcount,video_sharecount,video_commentcount,video_playcount
3096,7330776396173675818,1600000.0,2906.0,4576.0,9700000.0
3105,7327142848485231914,1200000.0,43400.0,23800.0,10900000.0
3113,7245401210709118210,1200000.0,2790.0,1296.0,16500000.0
3114,7329541169803824417,3800000.0,2314.0,6294.0,27600000.0
3115,7325189323177872672,1200000.0,21600.0,14200.0,12900000.0
3120,7318836510294330670,2300000.0,8580.0,5448.0,14000000.0
3121,7276626276306357550,1400000.0,12800.0,2150.0,66200000.0
3138,7330720370808474888,1200000.0,8822.0,8017.0,20200000.0
3141,7331081030960565546,1500000.0,2971.0,4940.0,11700000.0
3155,7329150907906559263,1800000.0,9084.0,4196.0,11500000.0
3159,7330728233949809962,8400000.0,77700.0,52900.0,50700000.0
3166,7326462348787535136,8400000.0,10500.0,7495.0,41400000.0
3173,7330455450049137963,2000000.0,8413.0,3171.0,12300000.0
3180,7330698737532587310,1300000.0,49600.0,21000.0,13100000.0
3186,7331051973149740334,2000000.0,63000.0,20700.0,12900000.0
3191,7330446319695318314,4100000.0,44000.0,8437.0,21400000.0
3198,7330697795852193055,5600000.0,143500.0,47200.0,44900000.0
3210,7325536930593049861,1700000.0,49400.0,6764.0,13300000.0
3226,7328920135048154370,2500000.0,6087.0,5667.0,19500000.0
3229,7330762466550648110,3700000.0,43000.0,12400.0,27600000.0
3249,7330032221396552990,3400000.0,19900.0,6754.0,20100000.0
3252,7330745328196455712,2400000.0,4211.0,2098.0,12800000.0
3258,7329233392128576810,2500000.0,48100.0,18000.0,13400000.0
3259,7330466527742971182,1800000.0,36400.0,13900.0,10500000.0
3277,7330865528715693318,9300000.0,167100.0,41600.0,50100000.0
3285,7331143049805974826,4000000.0,40500.0,11200.0,23800000.0
3291,7329127218779589921,4700000.0,57700.0,18100.0,28500000.0
3292,7329617341396946222,2100000.0,37100.0,17000.0,12300000.0
3299,7329238193944137006,1900000.0,34700.0,7532.0,11000000.0
3303,7330487146094005547,2200000.0,104100.0,59500.0,18100000.0
3304,7330658899630083361,2700000.0,57900.0,43900.0,28500000.0
3309,7323770450872470827,2600000.0,6919.0,5955.0,14000000.0
3315,7328845138548116768,2200000.0,3843.0,3846.0,13200000.0
3321,7313898627393637678,1900000.0,24100.0,7011.0,20900000.0
3322,7327428791616294175,3900000.0,140600.0,25300.0,18600000.0
3325,7328109617622387998,1400000.0,15500.0,3837.0,10000000.0
3330,7329485634903575854,2100000.0,100800.0,14400.0,10600000.0
3333,7328639856962309419,1800000.0,90600.0,11100.0,13800000.0
3334,7325072279992306976,1100000.0,5039.0,7569.0,14900000.0
3343,7325611290104237354,3700000.0,25700.0,10700.0,19900000.0
3353,7262027736665836846,709100.0,2647.0,2116.0,136000000.0
3357,7329405389450038533,2300000.0,11200.0,7680.0,13700000.0
3365,7314910429921201454,3400000.0,16900.0,10800.0,13800000.0
3367,7329601058227883297,2700000.0,35600.0,15400.0,14100000.0
3370,7278330972293188906,648100.0,6702.0,3128.0,11900000.0
3371,7260946815942397230,6700000.0,213500.0,44300.0,98000000.0
3372,7329238193944137006,1900000.0,34700.0,7532.0,11000000.0
3376,7296853597361327403,821500.0,7564.0,2924.0,117300000.0
3378,7329719213973605674,2400000.0,16100.0,3185.0,11700000.0
3385,7328855656075693358,1500000.0,9562.0,5681.0,10800000.0
3390,7329997978196921642,3800000.0,73300.0,24100.0,17200000.0
3398,7326288796163607841,5300000.0,111500.0,51200.0,26700000.0
3406,7329978546355686702,2300000.0,17800.0,4981.0,17800000.0
3427,7330018113833962794,4100000.0,9936.0,6885.0,19200000.0
3433,7329577926066769183,1100000.0,1647.0,0.0,10900000.0
3449,7328996864609750277,2700000.0,19600.0,0.0,16300000.0
3457,7325890401129352490,1600000.0,85700.0,10800.0,14800000.0
3459,7326984915575360814,1900000.0,17900.0,9412.0,10000000.0
3462,7328510158412188974,796000.0,7594.0,3767.0,56200000.0
3463,7329654958834634030,2900000.0,66000.0,7252.0,16700000.0
3464,7329951200873368874,5100000.0,370000.0,71900.0,46200000.0
3468,7328932162625998111,2600000.0,57100.0,11400.0,12400000.0
3469,7328188478250814750,2300000.0,32200.0,7224.0,11000000.0
3472,7330250329839160607,3000000.0,46000.0,10400.0,28400000.0
3474,7329532206773259526,2700000.0,36400.0,9187.0,11900000.0
3481,7330352935261539614,785300.0,27400.0,30100.0,14400000.0
3504,7326242873366580482,2000000.0,20000.0,3322.0,14100000.0
3506,7329648855346056490,2700000.0,121100.0,13800.0,13300000.0
3508,7328763903855545633,4300000.0,84100.0,22900.0,21600000.0
3509,7329266154436824366,2100000.0,11100.0,5312.0,14300000.0
3512,7329661341310962986,4200000.0,6173.0,4942.0,33300000.0
3522,7329202393692835073,2700000.0,31300.0,6427.0,21300000.0
3537,7325161769159347502,776300.0,8611.0,9433.0,9400000.0
3540,7324090950865800454,1900000.0,948.0,2675.0,23100000.0
3578,7325165295734181128,2300000.0,2807.0,3864.0,22600000.0
3592,7328921672978058542,9000000.0,95000.0,56500.0,47200000.0
3614,7326997526047886634,1500000.0,19900.0,4537.0,10900000.0
3629,7328573632379325742,1400000.0,13300.0,5461.0,9500000.0
3642,7323832252662730030,1700000.0,30800.0,75600.0,33900000.0
3652,7323722627380464942,2500000.0,7054.0,7110.0,23700000.0
3655,7327889338442714411,3100000.0,9638.0,8411.0,20000000.0
3658,7327905454691142958,3200000.0,56400.0,24200.0,17500000.0
3661,7324356565765492014,1700000.0,19400.0,5543.0,16800000.0
3665,7311921855147855146,20000000.0,690600.0,159900.0,241600000.0
3669,7325284734060285226,1700000.0,8693.0,6862.0,11100000.0
3671,7328103713095028011,4300000.0,40000.0,55400.0,39500000.0
3675,7326992376516463902,953400.0,33500.0,5601.0,9500000.0
3676,7328587610857786654,3300000.0,40500.0,0.0,27300000.0
3681,7328521620585467182,1400000.0,5695.0,10900.0,15900000.0
3685,7328035074245397803,781800.0,38100.0,3802.0,9600000.0
3699,7327681295939538208,836100.0,685.0,2009.0,14700000.0
3710,7327296953027497248,762600.0,3565.0,11700.0,9400000.0
3730,7328447255030123819,4200000.0,142200.0,24300.0,19400000.0
3735,7327727665589308678,3000000.0,57000.0,18700.0,17000000.0
3754,7327740406161001770,9600000.0,201600.0,46300.0,100100000.0
3766,7327185197235965230,5700000.0,45900.0,13000.0,52500000.0
3772,7327710349539446049,2700000.0,42200.0,8791.0,18500000.0
3784,7322378645501152558,3700000.0,78200.0,28900.0,16800000.0
3802,7327765839137000746,2300000.0,57400.0,13400.0,19300000.0
3803,7327678973079555371,1500000.0,2130.0,1934.0,30300000.0
3833,7323306817272941867,1200000.0,10200.0,4121.0,10300000.0
3841,7327709715369102634,1200000.0,29300.0,12900.0,9500000.0
3849,7327664934085479710,1100000.0,19500.0,9403.0,9600000.0
3868,7326986360508697886,1400000.0,8382.0,0.0,11300000.0
3890,7327343998417423647,1100000.0,66400.0,6017.0,12700000.0
3894,7327028361384037663,2000000.0,36300.0,9888.0,13600000.0
3938,7322369080231546118,825000.0,93400.0,9547.0,31500000.0
3953,7263132310994701610,1600000.0,539100.0,14700.0,18200000.0
3971,7310248433829301536,2500000.0,197300.0,28900.0,70000000.0
3974,7325564410204785951,4000000.0,159900.0,24500.0,20800000.0
3985,7322563643650985248,3500000.0,28500.0,13500.0,13800000.0
3986,7326570862876953889,3100000.0,215200.0,17200.0,15200000.0
3992,7322880967113231659,2400000.0,104600.0,33100.0,14100000.0
3994,7323007354264620334,4700000.0,36300.0,12400.0,30700000.0
3997,7321254715663093034,3600000.0,104400.0,30600.0,16000000.0
3998,7326032927064722731,971800.0,610600.0,5096.0,12200000.0
4004,7325779197652225282,1200000.0,13100.0,6298.0,14400000.0
4010,7327022764856970538,1100000.0,2685.0,4400.0,25500000.0
4012,7305086784638176558,1400000.0,2590.0,3353.0,14400000.0
4024,7326337495673687338,2200000.0,26500.0,10200.0,11000000.0
4025,7326915014483283246,2400000.0,48800.0,8455.0,12400000.0
4039,7326433500771487018,2400000.0,48600.0,14700.0,14200000.0
4041,7324922286618774830,1200000.0,14600.0,2840.0,10800000.0
4043,7325165757166325035,3800000.0,6695.0,5530.0,31600000.0
4045,7325912539831880965,4400000.0,51600.0,15000.0,17400000.0
4056,7319628398270188833,6100000.0,81100.0,37500.0,34300000.0
4061,7325276084214172970,5500000.0,72500.0,16600.0,22800000.0
4066,7322468337655500038,4700000.0,62300.0,11900.0,26700000.0
4068,7326401040549514539,3100000.0,35500.0,20500.0,16100000.0
4084,7326347261275917611,2900000.0,25500.0,15500.0,11700000.0
4086,7322667932226506027,6500000.0,47300.0,42200.0,32900000.0
4092,7326253299663916321,2200000.0,39900.0,24400.0,9600000.0
4093,7321934254097714437,1300000.0,21900.0,5486.0,12900000.0
4112,7326268161886801194,2700000.0,22700.0,15000.0,40100000.0
4118,7313870923256302856,6200000.0,215100.0,47500.0,56300000.0
4119,7288031357849128222,1400000.0,5147.0,1256.0,10800000.0
4128,7326579592481836320,2100000.0,11100.0,7304.0,13900000.0
4137,7279103974467308842,787200.0,2315.0,3950.0,9700000.0
4140,7326991035840679200,1800000.0,60000.0,17700.0,19200000.0
4144,7325841793579355425,3200000.0,63900.0,9721.0,20800000.0
